"mot","genre","lemme","phonétique","custom_freq_index","définitions","display_date"
"ammonite","f","ammonite","amonit","0.205","Histoire naturelle Genre de céphalopode fossile qui ressemblent à des cornes de bélier.",""
"ammonium","m","ammonium","amonjOm","0.09","Nom d'un radical composé, de formule  que l'on retrouve entre autres dans l'ammoniaque (NH4OH) et le chlorure d'ammonium (NH4Cl).",""
"amnios","m","amnios","amnjos","0.01","La plus interne des enveloppes du fœtus.",""
"amok","m","amok","amOk","0.055","folie meutrière",""
"amoraliste","","amoraliste","amORalist","0.012","Relatif à l'amoralisme.",""
"amorçoir","m","amorçoir","amORswaR","0.053","Outil de charpentier pour commencer les trous qu'il achève ensuite avec des outils plus gros.",""
"amorti","m","amorti","amORti","0.092","Sport de raquette Coup de raquette très doux qui renvoie la balle (ou le volant) très ralentie, de manière à ce qu'elle retombe juste de l'autre côté du filet. | Football Interception controlée du ballon de manière à ce qu'il ne rebondisse pas ou très peu.",""
"amortissement","m","amortissement","amORtis°m@","0.255","Comptabilité Provision dans les comptes de la perte de valeur d'une immobilisation. | Faculté donnée par le roi pour faire que des gens de mainmorte pussent devenir propriétaires, à charge de ne pouvoir vendre le fonds amorti. (En parlant d'un domaine, d'une terre, d'un héritage qui tombait en mainmorte) | Ce qui termine et surmonte le comble d'un bâtiment. | Tout ornement qui termine des ouvrages d'architecture. | Cavet renversé qui couvre les corniches des croisées et des portes extérieures, pour les garantir de la pluie.",""
"amortisseur","m","amortisseur","amORtis9R","0.308","Tous domaines Dispositif mécanique, électrique, hydraulique ou pneumatique destiné à atténuer des chocs, des vibrations, un bruit, etc.",""
"ampère","m","ampère","@pER","0.06","Unité de mesure de l'intensité du courant électrique du Système international (SI, unité de base), dont le symbole est A. Équivaut à un coulomb par seconde, soit environ 6,28 charges élémentaires par seconde.",""
"ampèremètre","m","ampèremètre","@pER°mEtR","0.005","Instrument de mesure spécialisé dans la mesure des courants électriques.",""
"amphibie","m","amphibie","@fibi","0.14","Qui vit sur la terre et dans l'eau. | Qualifie les plante qui peuvent croître également dans l'eau et hors de l'eau. | Objet qui peut  être utilisé tant sur la terre que dans l'eau. | Animal amphibie.",""
"amphibien","m","amphibien","@fibj5","0.04","Animal vertébré tétrapode anamniote qui a la particularité de posséder deux « vies » : une première aquatique à l'état larvaire et une seconde aérienne à l'état adulte.",""
"amphigouri","m","amphigouri","@figuRi","0.205","Figure de rhétorique qui consiste à écrire un discours ou un texte de manière volontairement burlesque, obscure ou inintelligible. | Écrit ou discours dont les phrases, contre l'intention de l'auteur, ne présentent que des idées sans suite et n'ont aucun sens raisonnable.",""
"amphitryon","m","amphitryon","@fitRi§","0.085","Hôte chez qui l'on est invité à manger. | Hôte chez qui l'on va dîner.",""
"amplificateur","m","amplificateur","@plifikat9R","0.219","Qui amplifie. | Appareil qui augmente l'effet d'un courant électrique selon les signaux reçus, système électronique quadripôle qui modifie un signal d'entrée en augmentant son intensité ou sa tension. | Génie génétique Séquence d'ADN amplifiant très fortement la transcription d'un ou plusieurs gènes situés en cis. | Instrument destiné à rendre le sens de l'ouïe aux sourds.",""
"amure","f","amure","amyR","0.155","Cordage fixant le point d'en bas, nommé point d'amure, d'une basse voile qui se trouve au vent . | Position d'un bateau par rapport au vent.",""
"amuse-bouche","m","amuse-bouche","amyzbuS","0.01","Petit mets salé qui accompagne l'apéritif.",""
"amygdalite","f","amygdalite","amidalit","0.058","Inflammation des amygdales.",""
"amylase","f","amylase","amilaz","0.022","Enzyme digestive présente dans le suc pancréatique et la salive et intervenant dans le catabolisme de certains glucides comme l'amidon.",""
"amyle","m","amyle","amil","0.208","Radical d'une série de composés, dont l'oxyde hydraté est l'huile de pomme de terre ou alcool amylique.",""
"anabase","f","anabase","anabaz","0.105","Ascension de l'esprit.",""
"anabolisant","m","anabolisant","anabOliz@","0.012","… | Substance facilitant ou augmentant les phénomènes d'anabolisme c'est-à-dire de production tissulaire notamment de la masse musculaire.",""
"anachorète","m","anachorète","anakoREt","0.356","Religieux qui se retire dans le désert pour se consacrer à la prière et à des exercices de pénitence. | Homme qui vit retiré du monde pour se livrer à des méditations ou à des travaux.",""
"anacoluthe","f","anacoluthe","anakolyt","0.078","Figure de style introduisant une rupture dans la construction d'une phrase.",""
"anaconda","m","anaconda","anak§da","0.115","Grand serpent d'Amérique du Sud qui se nourrit de mammifères et d' oiseaux.",""
"anaglyphe","m","anaglyphe","anaglif","0.01","Ouvrage sculpté en relief. | Portion du quatrième ventricule du cerveau.",""
"anagramme","f","anagramme","anagRam","0.235","Transposition dans un ordre différent des lettres qui composent un mot (ou une suite de mots), disposées de telle sorte qu'elles forment un ou plusieurs autres mots.",""
"analgésie","f","analgésie","analZezi","0.002","Insensibilité à la douleur physique.",""
"analgésique","m","analgésique","analZezik","0.14","Qui produit l'analgésie. | : | Médicament utilisé pour calmer la douleur.",""
"analphabétisme","m","analphabétisme","analfabetizm","0.183","Incapacité complète à lire et à écrire, le plus souvent par manque d'apprentissage.",""
"analyseur","m","analyseur","analiz9R","0.092","Objet ou chose qui analyse.",""
"analytique","f","analytique","analitik","0.053","Qui procède par voie d'analyse ou qui contient une analyse.",""
"anamnèse","f","anamnèse","anamnEz","0.053","Prière qui, dans la messe, suit la consécration et rappelle le souvenir de la rédemption. | Ensemble des renseignements préliminaires qu'un patient fournit sur l'histoire de sa maladie.",""
"anamorphose","f","anamorphose","anamORfoz","0.202","Déformation de l'image d'un objet réfléchie dans certains miroirs. | Changement qui déforme un végétal. | Procédé spécial du dessin dans la fabrication des étoffes chinées.",""
"anaphylaxie","f","anaphylaxie","anafilaksi","0.015","État dans lequel l'organisme réagit de façon violente contre lui-même, allergie sévère et rapide.",""
"anarcho-syndicalisme","m","anarcho-syndicalisme","anaRkos5dikalizm","0.053","Variante, dans l'orthographe traditionnelle, de anarchosyndicalisme .",""
"anastomose","f","anastomose","anastomoz","0.046","Embouchure d'un vaisseau dans un autre. | Communication entre deux conduits de même nature ou entre deux nerfs.",""
"anche","f","anche","@S","0.245","Languette mobile qui ouvre et ferme alternativement le passage de l'air dans un tuyau, où on la fait vibrer. | Demi-tuyau de cuivre pour l'orgue. | Conduit par lequel la farine tombe du moulin dans la huche.",""
"anchilops","m","anchilops","@kilOps","0.053","Tumeur phlegmoneuse au grand angle de l'œil.",""
"anchoïade","f","anchoïade","@Swajad","0.053","Préparation culinaire à base d'anchois pilés avec de l'ail et de l'huile d'olive. | Plat, repas composé de crudités accompagnées de cette préparation.",""
"ancolie","f","ancolie","@koli","0.053","Plante de la famille des renonculacées, cultivée dans les jardins à cause de la beauté de sa fleur, qui est garnie de cinq nectaires en forme de cornets recourbés et alternant avec les pétales.",""
"ancrage","m","ancrage","@kRaZ","0.355","Finances Lien fixe entre deux monnaies, avec possibilité de fluctuations très limitées par rapport à un cours central. | Marine  Lieu propre et commode pour jeter l'ancre. | Lien étroit.",""
"andain","m","andain","@d5","0.101","Chemin étroit, tracé. | Chemin que trace le faucheur à mesure qu'il avance dans son travail. | Ce que la faucheuse coupe en avançant. | Coupe de foin mise en rangée pour le pressage, ou l'enlèvement. | Amas de blocs rocheux issus de l'épierrage d'une parcelle agricole.",""
"andante","m","andante","@d@t","0.387","Ni trop vite, ni trop lentement. Il se met en tête d'un air pour marquer que cet air doit être joué d'un mouvement modéré. | Air qui doit être joué dans ce mouvement.",""
"andrinople","f","andrinople","@dRinOpl","0.15","Sorte d'étoffe de coton teinte en rouge d'Andrinople.",""
"androgyne","","androgyne","@dRoZin","0.349","Qui réunit les deux sexes, qui est mâle et femelle tout ensemble. | Se dit d'une plante qui a des fleurs mâles et des fleurs femelles sur le même pédoncule. | Une personne androgyne.",""
"androïde","m","androïde","@dRoid","0.21","Propre à l'homme, de nature masculine. | Automate à figure humaine, qui agit et parle. | Robot construit à l'image d'un être humain.",""
"andropause","f","andropause","@dRopoz","0.163","Phénomène biologique similaire à la ménopause chez les femmes qui peut affecter les hommes entre quarante et cinquante-cinq ans.",""
"anesthésique","m","anesthésique","anEstezik","0.369","Qui produit l'anesthésie. | Substance, produit anesthésique.",""
"anémomètre","m","anémomètre","anemomEtR","0.11","Instrument servant à mesurer la vitesse et la force du vent.",""
"anévrisme","m","anévrisme","anevRizm","0.379","Tumeur produite sur le trajet d'une artère par la dilatation des membranes. | Lésion des veines et des artères. | Dilatation morbide du cœur.",""
"angevine","f","angevin","@Z°vin","0.079","Habitante d'Angers, commune française située dans le département du Maine-et-Loire.",""
"angéite","f","angéite","@Zeit","0.002","Inflammation des vaisseaux sanguins ou lymphatiques.",""
"angélisme","m","angélisme","@Zelizm","0.352","(Généralement dépréciatif) Attitude qui ignore les contingences ou les réalités humaines matérielles, morales, sociologiques etc.  par manque de réalisme ou d'esprit pratique. Tendance à présenter ou à voir les choses ou les gens sous un jour optimiste. , crédulité, idéalisation, idéalisme, irréalisme, naïveté, utopisme. | Tendance à privilégier le spirituel par rapport au charnel par désir de chasteté, de pureté. , puritanisme",""
"angiographie","f","angiographie","@ZjOgRafi","0.08","Étude et description anatomique du système circulatoire chez l'animal et le végétal. | Examen basé sur l'injection d'un produit de contraste lors d'une imagerie par rayons X. | image obtenu par cette technique.",""
"angiome","m","angiome","@Zjom","0.032","Tumeur ou des tache liée à un développement exagéré et anormal des vaisseaux sanguins au niveau de la peau.",""
"angioplastie","f","angioplastie","@Zjoplasti","0.048","Intervention médico-chirurgicale de modification d'un vaisseau sanguin.",""
"anglican","m","anglican","@glik@","0.06","Qui appartient à l'anglicanisme. | Substantif de l'adjectif, en parlant des personnes.",""
"anglicane","f","anglican","@glikan","0.032","Qui appartient à l'anglicanisme. | Substantif de l'adjectif, en parlant des personnes.",""
"angliche","","angliche","@gliS","0.324","Relatif à l'Angleterre ou à ses habitants. | Relatif à la langue anglaise. | Habitant de Grande-Bretagne.",""
"anglomanie","f","anglomanie","@glomani","0.053","Mode qui consiste à admirer ou imiter avec excès tout ce qui appartient à l'Angleterre.",""
"anglophobie","f","anglophobie","@glofobi","0.053","Aversion pour le peuple anglais et tout ce qui s'y rattache. | Aversion pour l'anglais en tant que langue.",""
"angolais","m","angolais","@golE","0.025","Habitant de l'Angola, pays d'Afrique. | relatif à l'Angola, pays d'Afrique, ou à ses habitants.",""
"angon","m","angon","@g§","0.308","Demi-pique à l'usage des Francs. | Crochet pour la pêche des crustacés.",""
"angora","m","angora","@goRa","0.376","Variété de chats, de lapins et de chèvres qui ont une longue, épaisse et belle fourrure. | Textile naturel. Tissu de poils de chèvre angora ou lapin angora. | Qui est originaire de la région d'Ankara, en parlant d'une race de chèvre, qui se distingue par leurs poils longs et soyeux. | Qualifie des animaux dotés de poils longs et soyeux | Ancien nom d'Ankara, capitale de la Turquie actuelle. | Vilayet de l'empire ottoman qui avait cette ville pour capitale.",""
"angström","m","angström","@gStR2m","0.153","Autre orthographe dångström.",""
"aniline","f","aniline","anilin","0.205","Composé organique aromatique de formule chimique C6H5NH2. En sus des teintures, l'aniline a été le produit de départ de la synthèse d'un grand nombre de médicaments. | Couleur, teinture violet bleues, indigo.",""
"animalcule","m","animalcule","animalkyl","0.105","Petit animal qu'on peut voir seulement qu'à l'aide du microscope dans certains liquides.",""
"animalerie","f","animalerie","animal°Ri","0.158","Magasin ou commerce qui vend des animaux de compagnie et les produits qui leur sont destinés, tel que de la nourriture, des produits de soins et des accessoires.",""
"animalier","m","animalier","animalje","0.079","Artiste qui dessine, peint ou sculpte les bêtes.",""
"ankh","m","ankh","@k","0.07","Croix ansée, signe hiéroglyphique de la vie, signifiant en égyptien le verbe « vivre » ou le nom « vie ». | Caractère unicode U+2625, ☥.",""
"annonceur","m","annonceur","an§s9R","0.361","comédien qui venait, à la fin du spectacle, faire l'annonce des pièces qu'on devait jouer le lendemain.",""
"annonceuse","f","annonceur","an§s2z","0.376","comédien qui venait, à la fin du spectacle, faire l'annonce des pièces qu'on devait jouer le lendemain.",""
"annonciateur","m","annonciateur","an§sjat9R","0.18","Avant-coureur, qui présage. | Messager.",""
"anode","f","anode","anOd","0.005","Pôle négatif d'une pile électrique, ou positif pour une électrolyse.",""
"anophèle","m","anophèle","anofEl","0.002","Moustique de la famille des Culicidae sous famille des Anophelinae appartenant au genre Anopheles, responsable de la transmission du paludisme à l'homme",""
"anorexique","","anorexique","anoREksik","0.148","Relatif à l'anorexie. | Personne atteinte d'anorexie.",""
"anosmie","f","anosmie","anOsmi","0.018","Handicap lié à la perte de l'odorat.",""
"anoxie","f","anoxie","anOksi","0.022","Diminution de l'oxygène utilisé par les tissus de l'organisme.",""
"antagoniste","","antagoniste","@tagonist","0.389","Opposant, adversaire, ennemi. | Muscle qui agit en sens contraire d'un autre. Dent de la mâchoire opposée. | Qui agit en sens contraire.",""
"antalgique","m","antalgique","@talZik","0.081","Qui calme la douleur. | Remède qui calme la douleur.",""
"antépénultième","f","antépénultième","@tepenyltjEm","0.128","Qui précède immédiatement le pénultième ou avant-dernier, donc l'avant-avant-dernier. | L'antépénultième syllabe d'un mot.",""
"anthracose","f","anthracose","@tRakoz","0.002","Pneumoconiose  due au dépôt dans les poumons de poussière de charbon. | Ulcère corrosif.",""
"anthropoïde","","anthropoïde","@tRopoid","0.108","Animal dont l'espèce appartient à un sous-ordre des primates, comprenant les singes et les hominidés. | Qui ressemble à l'homme, en parlant d'un animal.",""
"anthropologiste","","anthropologiste","@tRopoloZist","0.028","Spécialiste qui étudie l'être humain en société.",""
"anthropométrie","f","anthropométrie","@tRopometRi","0.202","Technique de mesure des particularités dimensionnelles de l'homme. Elle est par exemple utilisée en ergonomie ou par la police scientifique pour s'assurer de l'identité des prévenus.",""
"anthropomorphisme","m","anthropomorphisme","@tRopomORfizm","0.258","Attribution, dans certaines religions et en particulier les polythéismes grecs et romains, d'une forme humaine et de sentiments humains aux phénomènes de la nature qui devenaient par suite autant de divinités.",""
"anthropophage","","anthropophage","@tRopofaZ","0.255","Qui mange de la chair humaine.",""
"anthropopithèque","m","anthropopithèque","@tRopopitEk","0.079","Type hypothétique d'animaux fossiles.",""
"anti-aérien","m","anti-aérien","@tiaeRj5","0.053","Qualifie un dispositif destiné à se protéger d'une attaque venant des airs : avion ou missile.",""
"anti-bruit","m","anti-bruit","@tibR8i","0.04","Variante, dans l'orthographe traditionnelle, de antibruit .",""
"anti-dopage","m","anti-dopage","@tidopaZ","0.015","Autre orthographe de antidopage.",""
"anti-inflammatoire","m","anti-inflammatoire","@ti5flamatwaR","0.07","Médicament ayant des propriétés permettant de lutter contre l'inflammation. | Qui a des propriétés permettant de lutter contre l'inflammation.",""
"antiaméricanisme","m","antiaméricanisme","@tiameRikanizm","0.058","Position dédaigneuse, méfiante ou hostile vis-à-vis de la politique des États-Unis d'Amérique, de la société, de l'histoire, de la culture ou du peuple nord-américain.",""
"antibois","m","antibois","@tibwa","0.035","Relatif à la ville d'Antibes, commune française située dans le département des Alpes-Maritimes. | Habitant d'Antibes, commune française située dans le département des Alpes-Maritimes.",""
"anticoagulant","m","anticoagulant","@tikoagyl@","0.044","Qui empêche la coagulation. | Substance qui empêche la coagulation.",""
"anticolonialisme","m","anticolonialisme","@tikolonjalizm","0.053","Doctrine qui s'oppose au colonialisme.",""
"anticommuniste","","anticommuniste","@tikomynist","0.308","Relatif à l'anticommunisme, qui s'oppose au communisme. | Opposant au communisme.",""
"anticonformisme","m","anticonformisme","@tik§fORmizm","0.053","Doctrine, manière de vivre, opposée au conformisme, aux usages établis.",""
"anticyclone","m","anticyclone","@tisiklon","0.06","Zone de circulation atmosphérique autour d'un centre de haute pression.",""
"antidépresseur","m","antidépresseur","@tidepRes9R","0.256","Médicament contre la dépression et les troubles anxieux.",""
"antidérapant","m","antidérapant","@tideRap@","0.053","Qui atténue ou prévient le dérapage.",""
"antidreyfusard","m","antidreyfusard","@tidREfyzaR","0.061","Relatif à celui-ci ou celle-ci",""
"antidreyfusisme","m","antidreyfusisme","@tidREfyzizm","0.053","Activisme des antidreyfusards",""
"antiesclavagiste","","antiesclavagiste","@tiEsklavaZist","0.002","Qui est opposé à l'esclavage. | Personne opposée à l'esclavage.",""
"antiémétique","m","antiémétique","@tiemetik","0.002","Remède contre les vomissements. | Qualifie ce remède.",""
"antifascisme","m","antifascisme","@tifaSizm","0.053","courant organisé s'opposant au fascisme.",""
"antifasciste","","antifasciste","@tifaSist","0.172","Opposé au fascisme. | Opposant au fascisme.",""
"antiféminisme","m","antiféminisme","@tifeminizm","0.053","Opposition au féminisme et à sa doctrine pour des raisons d'ordre politique, culturel, philosophique ou religieux.",""
"antigang","","antigang","@tig@g","0.134","En lutte contre les gangs mafieux, délinquants ou criminels.",""
"antigel","m","antigel","@tiZEl","0.05","Produit ajouté à un liquide pour abaisser sa température de congélation.",""
"antigène","m","antigène","@tiZEn","0.278","Substance étrangère à un organisme et provoquant chez celui-ci la constitution d'un anticorps.",""
"antihéros","m","antihéros","@tieRo","0.01","Personnage principal d'une œuvre de fiction dénué des caractéristiques positives du héros traditionnel.",""
"antihistaminique","m","antihistaminique","@tiistaminik","0.044","Médicament qui sert à réduire ou à éliminer les effets de l'histamine, un médiateur chimique endogène libéré, entre autre, au cours des réactions allergiques.",""
"antimatière","f","antimatière","@timatjER","0.138","Analogue à la matière mais constitué d'antiparticules.",""
"antimite","m","antimite","@timit","0.341","Qui repousse ou élimine les mites ou leurs larves. | Produit antimite.",""
"antimoine","m","antimoine","@timwan","0.205","Métal très fragile, brillant, d'un blanc bleuâtre et d'une texture lamelleuse.",""
"antinomie","f","antinomie","@tinomi","0.23","Contradiction réelle ou apparente entre deux lois, deux principes, deux idées.",""
"antioxydant","m","antioxydant","@tiOksid@","0.009","Substance qui empêche l'oxydation du produit auquel elle est mélangée.",""
"antipape","m","antipape","@tipap","0.106","Prétendant non reconnu par l'Église catholique romaine au titre de pape.",""
"antiparasite","m","antiparasite","@tipaRazit","0.056","Qui prévient l'apparition des parasites ou les supprime. | Qui prévient ou supprime les interférences, les troubles du signal radio, audio, etc. | Traitement contre les parasites. | Dispositif qui prévient ou supprime les interférences, les troubles du signal radio, audio, etc.",""
"antiphrase","f","antiphrase","@tifRaz","0.255","Figure de style, souvent utilisée pour faire de l'ironie, par laquelle on emploie un mot, une locution, une phrase, dans un sens contraire à sa véritable signification, à sa signification ordinaire. | Figure de style qui consiste en une opposition de deux termes qui ne sont pas côte à côte dans la phrase.",""
"antiproton","m","antiproton","@tipROt§","0.014","Antiparticule du proton.",""
"antipsychotique","m","antipsychotique","@tipsikOtik","0.018","Destiné à lutter contre la psychose. | Médicament destiné à lutter contre la psychose.",""
"antiquark","m","antiquark","@tikwaRk","0.002","Antiparticule du quark.",""
"antiracisme","m","antiracisme","@tiRasism","0.028","Opposition philosophique au racisme et à ses diverses manifestations.",""
"antirouille","m","antirouille","@tiRuj","0.002","Produit qui retarde ou prévient l'apparition de la rouille. | Qui retarde ou prévient l'apparition de la rouille.",""
"antisepsie","f","antisepsie","@tisEpsi","0.053","Destruction des micro-organismes pathogènes capables de provoquer des infections | Ensemble des techniques ayant pour objectif la destruction des micro-organismes pathogènes.",""
"antiseptique","m","antiseptique","@tisEptik","0.041","Remède contre la gangrène. | Remède contre les infections. | Qualifie ce remède.",""
"antisèche","","antisèche","@tisES","0.1","Copie d'un extrait de cours destinée à servir d'aide-mémoire lors d'une interrogation, d'un examen.",""
"antisocial","m","antisocial","@tisosjal","0.025","Qui est contraire à la société, qui tend à la dissolution de la société.",""
"antispasmodique","m","antispasmodique","@tispasmodik","0.005","Remède contre les spasmes, les convulsions. | Qualifie ce remède.",""
"antiterrorisme","m","antiterrorisme","@tit°RoRizm","0.002","Politique et ensemble des moyens mis en œuvre pour contrer le terrorisme.",""
"antitoxine","f","antitoxine","@titOksin","0.02","Substance sécrétée par l'organisme, dont l'effet est de détruire une toxine.",""
"antituberculeux","m","antituberculeux","@titybERkyl2","0.105","Qui est propre à combattre la tuberculose.",""
"antiviral","m","antiviral","@tiviRal","0.021","Molécule perturbant le cycle de réplication d'un ou de plusieurs virus, permettant ainsi de ralentir et plus rarement de stopper une infection virale. | Relatif aux antiviraux.",""
"antivirus","m","antivirus","@tiviRys","0.165","Logiciel antivirus.",""
"antivol","m","antivol","@tivOl","0.18","Système de sécurité destiné à dissuader, décourager, retarder, signaler ou empêcher le vol d'un objet, en particulier, d'un deux-roues.",""
"antonomase","f","antonomase","@tonomaz","0.053","Figure de style par laquelle un nom commun ou une périphrase, désigne un nom propre. | Inversement, figure de style par laquelle un nom propre est utilisé comme nom commun. | Par lexicalisation de cette figure de style, transformation d'un nom propre en nom commun.",""
"antonyme","m","antonyme","@tonim","0.079","Mot qui a un sens opposé à un autre.",""
"anxiolytique","m","anxiolytique","@ksjolitik","0.061","Propre à combattre l'anxiété ou l'angoisse. | Substantif de l'adjectif : médicament anxiolytique.",""
"aoriste","m","aoriste","aoRist","0.053","Temps de la conjugaison grecque, qui présente l'action comme passée, mais à un moment indéterminé.",""
"apartheid","m","apartheid","apaRtEjd","0.185","Développement séparé de la population d'un pays, sur une base raciale. | Système politique permettant l'oppression d'un groupe sur une base raciale, notamment en Afrique du Sud.",""
"apex","m","apex","apEks","0.135","Extrémité d'un organe. | Extrémité d'une racine ou d'une tige. | Extrémité d'une racine dentaire. | Calligraphie  Empattement supérieur d'une lettre ou élément prolongeant une lettre à son sommet. | Paléographie Diacritique de l'alphabet latin ressemblant à un accent aigu et utilisé pour signaler des voyelles longues. | Point imaginaire du ciel vers lequel se déplace notre système solaire dans son mouvement au sein de la Galaxie. | Sommet d'un cône ou d'une pyramide qui n'est pas dans le plan de la base.",""
"aphasie","f","aphasie","afazi","0.252","Trouble cognitif affectant l'expression ou la compréhension du langage parlé ou écrit.",""
"aphérèse","f","aphérèse","afeREz","0.053","Retranchement d'une syllabe ou d'une lettre au commencement d'un mot. | Suppression des notes initiales d'une phrase mélodique. | Technique de prélèvement à un donneur de certains composants de son sang par circulation extra-corporelle. | Ablation d'une partie quelconque du corps.",""
"aphonie","f","aphonie","afoni","0.105","Perte plus ou moins complète de la voix.",""
"aphorisme","m","aphorisme","afoRizm","0.39","Courte phrase exprimant un principe ou un concept de pensée.",""
"aphrodite","f","aphrodite","afROdit","0.002","Genre de ver marin. | Qui se reproduit sans acte sexuel extérieur. | Déesse grecque de l'amour et de la beauté",""
"apiculture","f","apiculture","apikyltyR","0.01","Domestication des abeilles dans le but de produire du miel et de la cire d'abeilles.",""
"aplasie","f","aplasie","aplazi","0.002","Absence d'un organe provoquée par l'absence ou l'insuffisance de développement de son ébauche embryonnaire. | On parle également d'aplasie lors de l'arrêt de la multiplication cellulaire dans un tissu qui se renouvelle habituellement en permanence",""
"aplat","m","aplat","apla","0.129","S'emploie pour une couleur.",""
"apnée","f","apnée","apne","0.352","Défaut de respiration, suspension de la respiration.",""
"apocope","f","apocope","apokOp","0.002","Élision d'un ou plusieurs phonèmes en fin de mot. | Versification Disparition en fin de mot d'un e caduc non élidable, pour gagner une syllabe.",""
"apocryphe","m","apocryphe","apokRif","0.111","Que l'église ne tient pas pour canonique. | Se dit des écrivains dont l'autorité est suspecte, des livres, des histoires dont l'authenticité n'est pas établie. | Est employé comme nom masculin dans les apocryphes, les livres de la Bible dont l'autorité est douteuse.",""
"apolitique","","apolitique","apolitik","0.064","Relatif à des préocuppations externes à l'exercice des droits civiques ou du gouvernement de l'Etat. | Relatif au citoyen n'exerçant pas son droit civique.",""
"apollon","m","apollon","apol§","0.062","Dieu de la lumière, de la raison et des arts dans la mythologie grecque. | Dieu romain et italique. | Grand poète. | Robe de chambre très courte. | Grand papillon eurasiatique et montagnard de l'espèce Parnassius apollo. | Homme qui soigne sa beauté.",""
"apologétique","","apologétique","apoloZetik","0.352","Champ d'études théologique ou littéraire consistant en la défense systématique d'une position. | Qui contient une apologie.",""
"apoplectique","","apoplectique","apoplEktik","0.332","Qui paraît menacé d'apoplexie ou qui en a eu des attaques. | Personnage atteint d'apoplexie.",""
"apoptose","f","apoptose","apOptoz","0.008","Mort cellulaire programmée.",""
"apostasie","f","apostasie","apostazi","0.31","Abandon public d'une religion pour une autre et , plus particulièrement de l'abandon de la religion catholique. | D'une manière générale Abandon d'une doctrine, d'un parti, etc.",""
"apostat","m","apostat","aposta","0.265","Personne ayant abandonné sa religion, qui a fait acte d'apostasie. | Par apposition,",""
"apostate","f","apostat","apostat","0.185","Personne ayant abandonné sa religion, qui a fait acte d'apostasie. | Par apposition,",""
"apostume","m","apostume","apOstym","0.053","Tumeur extérieure qui suppure.",""
"apothicairerie","f","apothicairerie","apotikER°Ri","0.053","Magasin, boutique d'apothicaire. | Profession, art de l'apothicaire",""
"apparatchik","m","apparatchik","apaRatSik","0.231","Dignitaire du parti communiste soviétique dans l'ancienne U.R.S.S.. | Dignitaire, cadre, d'une bureaucratie administrative, d'un parti politique.",""
"appeau","m","appeau","apo","0.272","Sorte de sifflet avec lequel on contrefait la voix des oiseaux pour les faire approcher ou pour les attirer dans quelque piège. | Oiseau dont on se sert pour appeler et attirer les autres oiseaux.",""
"appendicectomie","f","appendicectomie","ap5disektomi","0.062","(Chirurgie) Ablation de l'appendice vermiforme du cæcum, appelé aussi appendice iléo-cæcal.",""
"appesantissement","m","appesantissement","ap°z@tis°m@","0.053","État d'une personne appesantie, soit de corps, soit d'esprit.",""
"appétence","f","appétence","apet@s","0.229","Tendance de tout être vers ce qui peut satisfaire ses instincts et ses besoins, surtout physiques. | Attirance pour ce qui peut satisfaire un besoin ou une envie. | Désir d'usage ou d'achat ressenti par l'individu pour un produit ou une marque.",""
"applaudimètre","m","applaudimètre","aplodimEtR","0.005","Mesure du volume sonore produit par les applaudissements d'une foule, ses cris, ses sifflets, etc | afin de déterminer un vainqueur.",""
"applicateur","m","applicateur","aplikat9R","0.07","Ouvrier qui applique. | Ustensile destiné à faciliter l'application d'un substance ou d'un objet.",""
"appontage","m","appontage","ap§taZ","0.05","Atterrissage sur un porte-avions.",""
"appontement","m","appontement","ap§t°m@","0.365","Plate-forme fixe, en bois, supportée par des pilotis et servant de quai d'amarrage.",""
"apposition","f","apposition","apozisj§","0.108","Jonction de certains corps à d'autres corps de même espèce, de leur simple rapprochement. | Nom ou groupe de mots apposé à un nom ou à un pronom, | - soit pour indiquer dans quelle espèce on range la personne ou la chose désignée par ce nom ou ce pronom.",""
"appui-main","m","appui-main","ap8im5","0.105","Espèce de canne ou de baguette dont les peintres se servent pour appuyer la main qui tient le pinceau.",""
"appui-tête","m","appui-tête","ap8itEt°","0.002","Appareil destiné à appuyer et maintenir la tête, en particulier chez les coiffeurs, dentistes, photographes, etc.",""
"appuie-tête","m","appuie-tête","ap8itEt","0.118","Appareil destiné à appuyer et maintenir la tête, en particulier chez les coiffeurs, dentistes, photographes, etc.",""
"après-rasage","m","après-rasage","apRERazaZ","0.112","Baume qui calme le feu du rasoir après qu'on ait finit de se raser.",""
"après-ski","m","après-ski","apREski","0.165","Botte isolant du froid, qui se porte lorsqu'on ne fait pas de ski.",""
"aquaculture","f","aquaculture","akwakyltyR","0.002","Élevage animal ou culture végétale en milieu aquatique.",""
"aquagym","f","aquagym","akwaZim","0.01","Gymnastique pratiquée dans l'eau.",""
"aquatinte","f","aquatinte","akwat5t","0.025","Espèce de gravure à l'eau-forte, imitant les dessins au lavis.",""
"aquavit","m","aquavit","akwavit","0.15","Boisson alcoolisée scandinave distillée à partir de pommes de terre ou de céréales, et parfumée avec différentes épices.",""
"aquilon","m","aquilon","akil§","0.379","Vent du Nord. | Tout vent violent et froid.",""
"arabica","m","arabica","aRabika","0.194","Café issu des grains du caféier d'Arabie.",""
"arachnide","m","arachnide","aRaknid","0.056","Membre de la classe des Arachnides.",""
